question,replaced_question,NOUN,ADJ,VERB
What color handle does the middle man's racquet have?,What color [noun] does the [adj] [noun] 's [noun] have ?,,,
Are there any couches in the photo?,Are there any [noun] in the [noun] ?,,,
What color is the bed sheets?,What color is the [noun] [noun] ?,,,
What color is in the bike?,What color is in the [noun] ?,,,
Is this a indoor scene?,Is this a [adj] [noun] ?,,,
What color eye does the bird have?,What color [noun] does the [noun] have ?,,,
Is there an animal in the picture?,Is there an [noun] in the [noun] ?,,,
What color is it's beak?,What color is it 's [noun] ?,,,
What furniture is shown in the photo?,What [noun] is [verb] in the [noun] ?,,,
How many boards are there?,How many [noun] are there ?,,,
What color shirt is the man wearing?,What color [noun] is the [noun] [verb] ?,,,
How many laptops are in the picture?,How many [noun] are in the [noun] ?,,,
What type of vehicle is the man riding?,What [noun] of [noun] is the [noun] [verb] ?,,,
Is there a motorcycle in the photo?,Is there a [noun] in the [noun] ?,,,
Is there a potted plant in the picture?,Is there a [adj] [noun] in the [noun] ?,,,
What are the people doing in this picture?,What are the [noun] doing in this [noun] ?,,,
What color are the couch pillows?,What color are the [noun] [noun] ?,,,
What is the chair sitting in front of?,What is the [noun] [verb] in front of ?,,,
Is the picture taken outdoors?,Is the [noun] [verb] outdoors ?,,,
What color is the man's t shirt?,What color is the [noun] 's [noun] [noun] ?,,,
Is there any food in the photo?,Is there any [noun] in the [noun] ?,,,
What shape are the remote control buttons?,What [noun] are the [adj] [noun] [noun] ?,,,
What is this person standing in front of?,What is this [noun] [verb] in front of ?,,,
Are there any dining tables in the picture?,Are there any [noun] [noun] in the [noun] ?,,,
Is there a baseball bat in the picture?,Is there a [noun] [noun] in the [noun] ?,,,
What is to the left of cup?,What is to the [noun] of [noun] ?,,,
What is the sign made of?,What is the [noun] made of ?,,,
What color is the horse on the left?,What color is the [noun] on the [noun] ?,,,
What is the weather like?,What is the [noun] like ?,,,
Is there a fire hydrant in the photo?,Is there a [noun] [adj] in the [noun] ?,,,
How many cups can be seen?,How many [noun] can be [verb] ?,,,
What is the man in blue behind the catchers' position?,What is the [noun] in [adj] behind the [noun] ' [noun] ?,,,
What shape has the clock been cut into?,What [noun] has the [noun] been [verb] into ?,,,
What sport is this ?,What [noun] is this ?,,,
What is the bed frame made of?,What is the [noun] [noun] made of ?,,,
What color is the tile surface by the bench?,What color is the [noun] [noun] by the [noun] ?,,,
Is the animal on the cupcake happy or sad?,Is the [noun] on the [noun] [adj] or [adj] ?,,,
What is the weather?,What is the [noun] ?,,,
What electronic item shown in the photo?,What [adj] [noun] [verb] in the [noun] ?,,,
What are elephants thought to be afraid of?,What are [noun] [verb] to be [adj] of ?,,,
What main color is the bus?,What [adj] color is the [noun] ?,,,
What animal is seen?,What [noun] is [verb] ?,,,
What is the sink's color?,What is the [noun] 's color ?,,,
What are the people in the water doing?,What are the [noun] in the [noun] doing ?,,,
How many tennis rackets are in the picture?,How many [noun] [noun] are in the [noun] ?,,,
What animal is in the picture?,What [noun] is in the [noun] ?,,,
How many books can you see?,How many [noun] can you see ?,,,
Is this outdoors?,Is this [adj] ?,,,
What color is the keyboard?,What color is the [noun] ?,,,
What color is the bench in the picture?,What color is the [noun] in the [noun] ?,,,
Is this indoor or outdoor?,Is this [adj] or [adj] ?,,,
What color shorts is the bear balloon wearing?,What color [noun] is the [noun] [noun] [verb] ?,,,
What color are the spots on the giraffe?,What color are the [noun] on the [noun] ?,,,
What color are the skateboard tires?,What color are the [adj] [noun] ?,,,
What color is the sheet the cat is sitting on?,What color is the [noun] the [noun] is [verb] on ?,,,
What is the shape that is on the car door?,What is the [noun] that is on the [noun] [noun] ?,,,
How many buses are visible?,How many [noun] are [adj] ?,,,
What season is the child dressed for?,What [noun] is the [noun] [verb] for ?,,,
Which color are the knife handles?,Which color are the [noun] [noun] ?,,,
What color pillow is the dog laying on?,What color [noun] is the [noun] [verb] on ?,,,
What color is the cake top?,What color is the [noun] top ?,,,
What color is the toilet in this picture?,What color is the [noun] in this [noun] ?,,,
What kind of room is this?,What [noun] of [noun] is this ?,,,
What is the cat doing on the toilet?,What is the [noun] doing on the [noun] ?,,,
