Word,Count
other,110
first,73
more,72
main,49
same,46
such,45
new,44
few,44
least,40
different,37
useful,34
many,30
most,28
possible,27
basic,27
good,24
wooden,23
high,22
enough,22
full,21
unemployed,21
available,20
able,20
only,19
normal,19
extra,18
better,18
hostile,18
slow,16
little,16
golden,15
likely,15
large,15
faster,14
right,14
hard,14
second,14
various,14
best,14
much,14
sure,14
long,14
passive,14
multiple,13
similar,13
higher,13
simple,13
close,13
next,13
willing,13
natural,12
bedrock,12
tall,12
open,12
difficult,12
green,11
nearby,11
easy,11
common,11
several,11
optional,11
ideal,11
dark,11
own,10
easier,10
safe,10
empty,10
last,10
snowy,10
certain,9
less,9
critical,9
general,9
solid,9
important,9
small,9
single,8
related,8
peaceful,8
necessary,8
dangerous,8
usual,8
careful,8
current,8
underground,8
baby,8
vertical,8
rare,7
lower,7
specific,7
enchanted,7
random,7
left,7
particular,7
helpful,7
top,7
efficient,7
horizontal,7
obsidian,7
direct,7
unclaimed,7
real,6
total,6
red,6
white,6
short,6
loose,6
complex,6
later,6
closer,6
larger,6
secure,6
purple,6
exact,6
additional,6
closest,6
true,6
promotional,6
netherite,5
maximum,5
obvious,5
original,5
bare,5
special,5
entire,5
whole,5
advanced,5
big,5
outer,5
low,5
easiest,5
permanent,5
sweet,5
raw,5
black,5
quick,5
false,5
adult,5
old,5
stronger,4
renewable,4
probable,4
unable,4
quicker,4
proper,4
undead,4
primary,4
brief,4
respective,4
great,4
previous,4
active,4
handy,4
hungry,4
lit,4
reasonable,4
giant,4
cheap,4
neutral,4
sufficient,4
safer,4
bottom,4
free,4
accurate,4
warped,4
taller,4
corresponding,4
savanna,4
ore,3
mobile,3
zombified,3
standard,3
individual,3
unlikely,3
valuable,3
key,3
deep,3
tiny,3
further,3
wide,3
flat,3
transparent,3
precious,3
third,3
thick,3
plentiful,3
ready,3
worth,3
wrong,3
temporary,3
straight,3
navigational,3
major,3
hollow,3
effective,3
expensive,3
alternative,3
immune,3
prior,3
regular,3
nearest,3
overworld,3
equivalent,3
adjacent,3
valid,3
negative,3
brown,3
clear,2
newer,2
exclusive,2
plastic,2
official,2
notched,2
obtainable,2
historical,2
sweeping,2
impossible,2
incoming,2
slower,2
complete,2
else,2
upward,2
relevant,2
square,2
complicated,2
personal,2
appropriate,2
stackable,2
lightweight,2
fragile,2
very,2
limited,2
deeper,2
early,2
wary,2
ambitious,2
desperate,2
potential,2
painful,2
immediate,2
crude,2
intensive,2
exhausted,2
athletic,2
vulnerable,2
rotten,2
fair,2
unsafe,2
smaller,2
gray,2
edible,2
mature,2
alive,2
polar,2
longer,2
suitable,2
opaque,2
stuck,2
flush,2
sunny,2
dead,2
beautiful,2
secondary,2
significant,2
resistant,2
nether,2
final,2
ineffective,2
harder,2
strongest,2
strong,2
unenchanted,2
fine,2
nutritious,2
bright,2
infinite,2
loud,2
tallest,2
massive,2
huge,2
fatal,2
collectible,2
risky,2
non-exploit,2
buildable,2
equal,2
coordinate,2
economic,2
successful,2
positive,2
spherical,2
angry,2
beneficial,2
rough,1
cloudy,1
largest,1
purest,1
identical,1
yellow,1
naughty,1
offensive,1
secret,1
blue,1
instant,1
creative,1
non-magical,1
dual,1
blockable,1
hardcore,1
cubical,1
brighter,1
backward,1
double,1
forward,1
w,1
invulnerable,1
overall,1
disabled,1
graphical,1
offhand,1
done,1
fourth,1
minimum,1
weak,1
thrifty,1
iron,1
simpler,1
linear,1
practical,1
mandatory,1
middle,1
minded,1
plenty,1
future,1
gone,1
imminent,1
powerful,1
decent,1
back,1
pesky,1
awesome,1
fancy,1
light,1
artificial,1
recent,1
occasional,1
definite,1
hungrier,1
perpetual,1
overarching,1
orange,1
curious,1
highest,1
sized,1
accessible,1
rich,1
greyish,1
dusty,1
unlimited,1
intact,1
pretty,1
upset,1
okay,1
exploitable,1
ripe,1
rarer,1
cobblestone,1
hazardous,1
quality,1
nourishing,1
traditional,1
unchanged,1
lucky,1
unusual,1
sudden,1
multiplayer,1
set,1
pleasant,1
minor,1
put,1
-solid,1
accompanying,1
modern,1
durable,1
adequate,1
outside,1
versatile,1
un-laddered,1
convenient,1
worse,1
primitive,1
suspicious,1
rid,1
confusing,1
impressive,1
free-standing,1
wet,1
dry,1
clean,1
halfway,1
imaginary,1
minimal,1
crazy,1
excellent,1
creeper,1
monotonous,1
hidden,1
nonpublic,1
non-flammable,1
advisable,1
extreme,1
costly,1
portal,1
rapid,1
spectral,1
plus,1
non-mob,1
ordinary,1
fifth,1
hardest,1
incredible,1
vital,1
potent,1
nice,1
darker,1
slight,1
softer,1
central,1
explosive,1
aggressive,1
alternate,1
sophisticated,1
about,1
colored,1
shortest,1
proof,1
unreliable,1
caged,1
off,1
lingering,1
biggest,1
narrow,1
ghast,1
subsequent,1
disproportionate,1
present,1
bad,1
soft,1
actual,1
narrower,1
above,1
precise,1
unpredictable,1
distant,1
initial,1
equidistant,1
inaccessible,1
automated,1
manual,1
perfect,1
fast,1
viable,1
conventional,1
reverse,1
greater,1
crowded,1
prone,1
jobless,1
awake,1
asleep,1
max,1
arbitrary,1
separate,1
eligible,1
upper,1
japanese,1
bigger,1
latest,1
unobstructed,1
invisible,1
diagonal,1
variable,1
unreachable,1
endless,1
rung,1
correct,1
apparent,1
pink,1
daily,1
enchanting,1
glazed,1
meaningless,1
professional,1
detailed,1
educational,1
external,1
evil,1
odd,1
classic,1
unused,1
inspirational,1
fun,1
invalid,1
taiga,1
decorative,1
plural,1
singular,1
