Word,Count
villager,256
villagers,226
blocks,221
player,188
block,167
portal,126
items,123
dragon,110
damage,100
bed,96
time,89
game,87
item,79
iron,78
pickaxe,77
wood,75
food,73
water,71
stone,70
end,68
sword,64
village,62
tools,59
inventory,58
night,58
level,56
way,55
day,54
shelter,54
monsters,52
ender,52
crafting,50
job,50
world,47
portals,47
point,45
site,44
artwork,44
mobs,43
armor,41
profession,41
diamond,40
zombie,38
article,37
lava,37
logs,37
chance,35
players,35
ground,34
crystals,34
swords,33
light,33
planks,33
type,32
beds,32
trades,31
potions,31
tool,30
attack,30
distance,30
house,30
biome,30
dirt,29
seeds,29
wheat,29
trading,28
fuel,28
space,28
materials,27
baby,27
head,25
cave,25
slots,25
ore,24
mining,24
table,24
axe,24
furnace,24
stronghold,24
area,23
cobblestone,23
torches,23
towers,23
enchantments,22
pickaxes,22
grass,22
arrows,22
animals,22
resources,22
eye,22
smelting,21
seconds,21
hunger,21
charcoal,21
golem,21
bow,21
edition,20
egg,20
chest,20
zombies,20
health,20
top,20
trade,20
use,19
mob,19
spawn,19
stack,19
bucket,19
entrance,19
doors,19
obsidian,19
fight,19
coordinates,19
tutorials,18
slot,18
villages,18
recipes,18
coal,18
endermen,18
plains,18
durability,17
emeralds,17
example,17
air,17
biomes,17
source,17
golems,17
hyphae,17
diamonds,16
id,16
issues,16
enchantment,16
hand,16
knockback,16
skeletons,16
case,16
side,16
bread,16
crops,16
meat,16
door,16
crossbow,16
pearls,16
professions,16
material,15
types,15
mode,15
things,15
trees,15
recipe,15
breeding,15
wool,15
home,15
ladders,15
healing,15
place,15
particles,15
houses,15
carrots,15
x,15
data,14
equipment,14
base,14
update,14
character,14
difficulty,14
fences,14
island,14
farmer,14
potatoes,14
staircase,14
breath,14
toolsmith,13
controls,13
sounds,13
farming,13
minutes,13
surface,13
bar,13
spiders,13
location,13
room,13
illagers,13
pearl,13
nitwit,13
value,13
�,12
generation,12
levels,12
emerald,12
part,12
crystal,12
weapon,12
speed,12
bit,12
death,12
page,12
tutorial,12
sheep,12
entity,12
shield,12
experience,12
lot,12
fence,12
height,12
range,12
wall,12
raid,12
values,11
history,11
repair,11
breaking,11
guide,11
options,11
key,11
gui,11
method,11
direction,11
grid,11
book,11
ocean,11
torch,11
exit,11
jungle,11
fall,11
fire,11
platform,11
gossip,11
boundary,11
achievements,10
advancements,10
tier,10
contents,10
ingredient,10
references,10
sticks,10
effect,10
tiers,10
system,10
attacks,10
texture,10
combat,10
creatures,10
start,10
details,10
hotbar,10
morning,10
oak,10
potion,10
eyes,10
form,10
cleric,10
loot,9
chests,9
gallery,9
weaponsmith,9
anvil,9
gold,9
ones,9
weapons,9
version,9
versions,9
ores,9
mechanics,9
order,9
times,9
boat,9
hit,9
amount,9
front,9
one,9
center,9
sides,9
edge,9
command,9
walls,9
beetroot,9
textures,9
destination,9
tag,9
nitwits,9
trivia,8
control,8
hits,8
safety,8
feet,8
note,8
spot,8
log,8
cube,8
mouse,8
button,8
points,8
monster,8
target,8
image,8
farms,8
building,8
fish,8
hole,8
caves,8
hill,8
farmers,8
supply,8
slabs,8
ladder,8
tower,8
netherrack,8
falling,8
nether,8
popularity,8
variants,8
