Word,Count
have,158
see,124
use,105
make,85
get,82
used,77
using,70
find,68
need,61
has,52
break,42
spawn,42
go,41
do,40
want,36
are,35
collect,34
drop,31
take,31
attack,30
place,30
build,30
pick,29
made,28
enchanted,27
making,27
start,27
try,27
look,26
keep,26
move,24
shoot,24
found,23
craft,22
throw,22
killed,22
sleep,22
jump,21
kill,20
put,20
placed,19
avoid,19
takes,18
change,18
turn,18
set,18
recommended,18
attacking,17
getting,17
fall,17
going,17
wandering,17
run,16
causes,16
breed,16
following,15
holding,15
lets,15
having,15
note,15
leave,15
spawning,14
based,14
breaking,14
is,14
makes,14
requires,14
becomes,14
reach,14
stay,14
spawned,14
become,14
shown,14
climb,14
bring,14
drops,13
depending,13
fight,13
attacked,13
die,13
let,13
hit,13
smelt,13
dig,13
claim,13
help,13
stripped,13
crafting,12
allows,12
sell,12
destroy,12
moving,12
playing,12
looking,12
gather,12
built,12
buy,11
harvest,11
including,11
deal,11
created,11
encounter,11
fill,11
uses,11
seen,11
come,11
wait,11
save,11
trade,11
shows,10
require,10
include,10
work,10
give,10
needed,10
respawn,10
comes,10
exploring,10
falls,10
prevent,10
destroyed,10
mined,9
starts,9
crafted,9
walking,9
affected,9
cause,9
broken,9
create,9
entering,9
jumping,9
allow,9
open,9
appear,9
remember,9
killing,9
cook,9
light,9
sleeping,9
healing,9
generate,9
means,9
claimed,9
increase,9
wander,9
obtaining,8
show,8
required,8
generated,8
blocking,8
dropped,8
block,8
provides,8
finding,8
collecting,8
appears,8
left,8
walk,8
gets,8
plant,8
placing,8
considered,8
wearing,8
acquire,8
follow,8
drowned,8
digging,8
provide,8
travel,8
lost,8
falling,8
stare,8
had,7
harvested,7
lose,7
called,7
damaged,7
increases,7
standing,7
gives,7
clicking,7
discussed,7
fly,7
burn,7
say,7
click,7
happens,7
giving,7
wear,7
happen,7
includes,7
building,7
doing,7
got,7
cooked,7
be,7
eating,7
goes,7
play,7
grab,7
needs,7
flee,7
enter,7
carved,7
tend,7
employed,7
traded,7
trades,7
obtained,6
contain,6
offering,6
offer,6
teleport,6
damage,6
offers,6
moves,6
sneaking,6
begin,6
starting,6
end,6
interact,6
pressing,6
working,6
swim,6
sprint,6
counts,6
grow,6
deals,6
showing,6
picks,6
enchant,6
begins,6
spend,6
pass,6
prevents,6
heal,6
complete,6
turned,6
obtain,6
stop,6
defeating,6
return,6
destroying,6
generates,6
link,6
pushed,6
mine,5
apply,5
indicates,5
receive,5
collected,5
putting,5
taken,5
dropping,5
replaced,5
know,5
survive,5
eat,5
opening,5
attacks,5
picking,5
choose,5
switch,5
stack,5
add,5
learn,5
said,5
summoned,5
mining,5
worry,5
watch,5
taking,5
head,5
dying,5
cover,5
waiting,5
spawns,5
reduces,5
fighting,5
accumulate,5
panic,5
explore,5
smelted,5
finds,5
remains,5
lure,5
join,5
continue,5
seek,5
protect,5
closed,5
buried,5
leads,5
emits,5
determine,5
caged,5
attempts,5
holds,5
curing,5
determined,5
share,5
redirects,4
preferred,4
relating,4
maintained,4
upgrading,4
rounded,4
reduced,4
sells,4
meaning,4
inspect,4
according,4
caused,4
hits,4
assumes,4
indicate,4
sounds,4
followed,4
started,4
stand,4
turns,4
dealing,4
selected,4
sneak,4
continues,4
count,4
hold,4
does,4
press,4
ignore,4
arranged,4
fit,4
chasing,4
done,4
lit,4
seeking,4
manage,4
sets,4
runs,4
intended,4
creating,4
leaving,4
read,4
trying,4
check,4
opened,4
harm,4
provoked,4
burns,4
summon,4
grants,4
inflict,4
knocked,4
climbing,4
throwing,4
drink,4
searches,4
occurs,4
staring,4
locked,4
cured,4
claiming,4
detect,4
associated,4
corresponding,4
shared,4
released,4
purchasing,4
allowing,3
acquired,3
exist,3
adding,3
consumes,3
hitting,3
recover,3
smelting,3
named,3
hidden,3
resulting,3
inflicts,3
perform,3
held,3
negates,3
removed,3
abandoned,3
died,3
lying,3
changed,3
produce,3
floating,3
trading,3
act,3
targeted,3
tell,3
running,3
gathered,3
picked,3
pointing,3
indicated,3
prefer,3
given,3
encountered,3
moved,3
bounce,3
unlocks,3
spot,3
reappear,3
descend,3
prepare,3
managed,3
hurt,3
hide,3
consider,3
push,3
existing,3
sprinting,3
catch,3
slept,3
completed,3
divided,3
exit,3
missing,3
skip,3
replant,3
harvesting,3
seems,3
replace,3
cut,3
touch,3
grown,3
attempt,3
stays,3
keeps,3
serve,3
remove,3
facing,3
spent,3
wish,3
leading,3
mark,3
desired,3
activates,3
brought,3
reclaim,3
convert,3
kicked,3
boost,3
land,3
causing,3
perch,3
activate,3
flies,3
located,3
lead,3
sits,3
contains,3
kills,3
remain,3
attempting,3
dies,3
despawn,3
tries,3
entered,3
occur,3
sharing,3
returning,3
throws,3
becoming,3
sweating,3
resupply,3
display,3
restocked,3
tags,3
inspired,3
announced,3
resolved,3
enchanting,2
repairing,2
repair,2
select,2
insert,2
polished,2
cutting,2
occurring,2
repaired,2
restoring,2
harvests,2
attracted,2
buying,2
increasing,2
equipped,2
increased,2
damaging,2
decreases,2
destroys,2
decreasing,2
knocks,2
dealt,2
calculated,2
raising,2
expected,2
respawns,2
wanders,2
master,2
practice,2
talk,2
stands,2
passes,2
refer,2
focused,2
targeting,2
fallen,2
drown,2
crawl,2
focus,2
punching,2
marking,2
affect,2
hovering,2
enters,2
aim,2
defaults,2
counting,2
drag,2
linked,2
carry,2
carrying,2
matching,2
brew,2
defeat,2
exposed,2
waste,2
noted,2
fencing,2
expand,2
rearrange,2
escape,2
stash,2
venture,2
stretch,2
cooking,2
listed,2
capture,2
rippling,2
drain,2
starve,2
staying,2
swimming,2
conserve,2
poisons,2
replenishing,2
desire,2
learned,2
's,2
scattered,2
setting,2
forget,2
received,2
gotten,2
providing,2
bother,2
expose,2
ring,2
hope,2
requiring,2
decay,2
saved,2
arrange,2
mention,2
claims,2
explored,2
warrant,2
organized,2
recognize,2
interrupted,2
displaying,2
went,2
harming,2
works,2
advances,2
skipped,2
swoop,2
counted,2
clear,2
joined,2
dug,2
gathering,2
burning,2
hiding,2
dodge,2
assuming,2
locate,2
roam,2
seem,2
listen,2
framed,2
protected,2
supposed,2
extend,2
cost,2
turning,2
added,2
flying,2
thrown,2
miss,2
helps,2
negate,2
damages,2
extended,2
mentioned,2
perches,2
bridge,2
teleports,2
removes,2
tipped,2
floats,2
breaks,2
locating,2
calculate,2
measured,2
filled,2
think,2
teleported,2
chase,2
provided,2
emit,2
adjust,2
resume,2
dives,2
changes,2
gains,2
sitting,2
returns,2
deactivate,2
flowing,2
step,2
multiplying,2
centered,2
translates,2
span,2
varies,2
summoning,2
panicking,2
depends,2
retains,2
wants,2
detects,2
verify,2
searching,2
pathfind,2
results,2
extending,2
activated,2
converted,2
equip,2
struck,2
rings,2
behave,2
walks,2
waits,2
wake,2
wakes,2
grunt,2
shake,2
exhausted,2
rise,2
unlock,2
chat,2
condensed,2
enabled,2
inspecting,2
panicked,2
displayed,2
separated,2
became,2
substituted,1
grinding,1
lay,1
consumed,1
kick,1
referring,1
stuck,1
notched,1
drawn,1
resembling,1
wither,1
wields,1
selling,1
offered,1
performs,1
benefit,1
riding,1
cooling,1
ignores,1
multiply,1
excludes,1
classified,1
parry,1
deflects,1
minimizing,1
engaged,1
disengaged,1
lowering,1
accommodate,1
mitigated,1
disabled,1
came,1
teaches,1
reading,1
bought,1
downloaded,1
represent,1
explain,1
interacting,1
shearing,1
managing,1
tap,1
affects,1
describing,1
test,1
changing,1
knowing,1
tapping,1
depend,1
surviving,1
handed,1
missed,1
raised,1
tossed,1
viewed,1
indicating,1
announces,1
shares,1
controls,1
pause,1
attending,1
fooling,1
pausing,1
discuss,1
marked,1
dragged,1
dragging,1
releasing,1
rebound,1
transport,1
remembering,1
adds,1
involves,1
limited,1
last,1
vary,1
upgrade,1
combining,1
tilling,1
lair,1
securing,1
preserving,1
bred,1
illuminated,1
shift,1
hoe,1
finish,1
consult,1
settled,1
skipping,1
arm,1
adventuring,1
tough,1
practicing,1
switching,1
disappear,1
wall,1
fence,1
fix,1
roofing,1
decorate,1
huddling,1
fend,1
stretches,1
barring,1
shorten,1
tide,1
mind,1
pull,1
suffering,1
reappears,1
teach,1
stepping,1
hurts,1
shaped,1
explained,1
continuing,1
toss,1
looting,1
disassemble,1
trundling,1
notices,1
planted,1
wipe,1
kicks,1
repopulate,1
wiped,1
sold,1
minimize,1
approaching,1
mix,1
decaying,1
sunken,1
wears,1
reconsider,1
noticed,1
draw,1
mistaken,1
suffocate,1
prepared,1
defend,1
hunt,1
attend,1
catching,1
altering,1
raise,1
lighting,1
knows,1
arranging,1
pays,1
representing,1
regenerate,1
losing,1
declines,1
leaves,1
ripple,1
rowing,1
darkens,1
reverting,1
list,1
known,1
domesticated,1
harmed,1
slaughter,1
harms,1
molest,1
tame,1
drowning,1
likedrowned,1
approach,1
progress,1
pulled,1
ran,1
broke,1
produced,1
produces,1
awarded,1
removing,1
swipe,1
match,1
shear,1
told,1
begun,1
skips,1
caught,1
burst,1
alter,1
rises,1
obstructed,1
installed,1
storming,1
walked,1
blow,1
close,1
fitted,1
lacking,1
ride,1
deplete,1
bang,1
surrounded,1
spills,1
combine,1
wield,1
remaining,1
explode,1
retreat,1
overrun,1
call,1
shot,1
survived,1
surrounding,1
like,1
reverts,1
reveal,1
hear,1
caving,1
coming,1
were,1
fending,1
construct,1
consists,1
fortified,1
surround,1
protrude,1
containing,1
double,1
keeping,1
connecting,1
ascend,1
solve,1
pitched,1
stained,1
settle,1
fills,1
pours,1
spotted,1
flaming,1
intend,1
designate,1
designated,1
planting,1
lives,1
anticipated,1
enhances,1
hang,1
fired,1
circling,1
topped,1
tied,1
mitigate,1
restores,1
restore,1
starving,1
bail,1
splash,1
enhance,1
react,1
contrasting,1
confuse,1
leaping,1
pillar,1
ender,1
fights,1
pursuing,1
dump,1
neutralizes,1
flood,1
blowing,1
charging,1
beat,1
accessed,1
saves,1
spare,1
float,1
direct,1
traveling,1
consuming,1
practiced,1
notice,1
trace,1
connected,1
flush,1
fiding,1
discovering,1
heard,1
eases,1
emerge,1
engulfed,1
reminding,1
pearls,1
arrive,1
advised,1
distinguish,1
diving,1
aimed,1
tamed,1
resting,1
releases,1
reorganize,1
recovers,1
spends,1
reveals,1
landed,1
knock,1
drunk,1
shooting,1
pillaring,1
launch,1
measure,1
charge,1
strike,1
teleporting,1
snipe,1
swap,1
drinking,1
chose,1
puff,1
lingering,1
slam,1
scoop,1
line,1
forced,1
suggested,1
inflicted,1
trapping,1
downflowing,1
disintegrates,1
erupting,1
explodes,1
fades,1
disappears,1
experience,1
gain,1
earned,1
obeys,1
power,1
defeated,1
live,1
looks,1
jumps,1
treated,1
tells,1
reset,1
hears,1
resurrects,1
creates,1
lists,1
destined,1
send,1
secured,1
handle,1
pouring,1
solidify,1
calculates,1
coordinate,1
dividing,1
scanned,1
bypass,1
coordinates,1
fail,1
forces,1
clipped,1
overwriting,1
pairing,1
force,1
limits,1
mapping,1
scan,1
linking,1
paired,1
ensure,1
ensures,1
constructed,1
places,1
cleared,1
forgot,1
choosing,1
disrupted,1
confused,1
inhabit,1
transforms,1
adopts,1
chosen,1
alternating,1
mumbling,1
chased,1
forgets,1
despawning,1
stranded,1
lack,1
install,1
returned,1
touching,1
favor,1
acquires,1
detected,1
relinquishes,1
acquiring,1
store,1
spread,1
stores,1
influence,1
decays,1
decayed,1
lowers,1
checks,1
affecting,1
ignited,1
attributed,1
constrained,1
worn,1
rendered,1
functions,1
frosted,1
sees,1
decide,1
bread,1
result,1
tended,1
plants,1
farm,1
till,1
continued,1
allowed,1
occurred,1
cease,1
path,1
view,1
invalidates,1
encourage,1
consume,1
animated,1
covered,1
group,1
strikes,1
emitting,1
succeed,1
crowd,1
separates,1
infected,1
rushes,1
warn,1
rung,1
glowing,1
displays,1
gift,1
stares,1
applies,1
chases,1
define,1
fleeing,1
sow,1
reaches,1
commences,1
resupplies,1
chooses,1
fails,1
loses,1
seeks,1
enables,1
mingle,1
converse,1
humming,1
racing,1
accepts,1
target,1
stealing,1
lie,1
restricted,1
exploding,1
leveling,1
waking,1
matches,1
listing,1
arise,1
born,1
unlocked,1
varying,1
breeding,1
inherited,1
dried,1
coated,1
unemployed,1
treats,1
shaking,1
declined,1
involve,1
totaling,1
suggesting,1
completing,1
grant,1
names,1
resupplied,1
risen,1
stored,1
buys,1
cycles,1
decrease,1
receives,1
discounted,1
range,1
colored,1
submerged,1
buff,1
retaliates,1
rotate,1
leashed,1
unlocking,1
customized,1
lock,1
stacked,1
combined,1
excluding,1
decreased,1
mate,1
refreshed,1
populating,1
hanging,1
glitching,1
copied,1
compared,1
textured,1
anger,1
hints,1
fools,1
modifying,1
talking,1
altered,1
features,1
originate,1
titled,1
appearing,1
voiced,1
reverted,1
sent,1
intersects,1
speeds,1
wielded,1
yielding,1
states,1
branching,1
